timestamp,index,temperature_c,power_w,utilization_pct
2026/08/15 20:41:34.809,1,33,78.64,4
2026/08/15 20:41:35.838,0,36,97.98,2
2026/08/15 20:41:35.843,1,33,77.91,4
2026/08/15 20:41:36.873,0,36,98.25,2
2026/08/15 20:41:36.877,1,33,78.97,4
2026/08/15 20:41:37.906,0,36,98.08,0
2026/08/15 20:41:37.911,1,33,78.82,0
2026/08/15 20:41:38.943,0,38,129.25,28
2026/08/15 20:41:38.950,1,35,117.86,29
2026/08/15 20:41:39.984,0,38,173.65,21
2026/08/15 20:41:39.991,1,35,154.69,22
2026/08/15 20:41:41.025,0,38,160.71,25
2026/08/15 20:41:41.031,1,35,142.80,28
2026/08/15 20:41:42.063,0,37,139.98,0
2026/08/15 20:41:42.068,1,34,113.39,0
2026/08/15 20:41:43.097,0,36,102.49,0
2026/08/15 20:41:43.102,1,33,79.71,0
2026/08/15 20:41:44.131,0,36,96.97,0
2026/08/15 20:41:44.135,1,33,76.87,0
2026/08/15 20:41:45.165,0,36,96.97,0
2026/08/15 20:41:45.170,1,33,76.68,0
2026/08/15 20:41:46.199,0,36,97.02,0
2026/08/15 20:41:46.204,1,33,76.59,0
2026/08/15 20:41:47.232,0,36,97.28,0
2026/08/15 20:41:47.237,1,33,76.91,0
2026/08/15 20:41:48.265,0,36,97.48,3
2026/08/15 20:41:48.271,1,33,77.94,5
2026/08/15 20:41:49.300,0,36,98.13,2
2026/08/15 20:41:49.305,1,33,78.89,5
2026/08/15 20:41:50.335,0,36,98.01,2
2026/08/15 20:41:50.340,1,33,78.67,4
2026/08/15 20:41:51.369,0,36,97.75,2
2026/08/15 20:41:51.374,1,33,78.67,4
2026/08/15 20:41:52.404,0,37,114.65,1
2026/08/15 20:41:52.410,1,34,94.32,0
2026/08/15 20:41:53.442,0,37,99.27,0
2026/08/15 20:41:53.446,1,33,80.07,0
2026/08/15 20:41:54.474,0,37,97.21,0
2026/08/15 20:41:54.478,1,33,78.05,0
2026/08/15 20:41:55.509,0,37,106.30,0
2026/08/15 20:41:55.513,1,33,86.36,0
2026/08/15 20:41:56.545,0,37,97.24,0
2026/08/15 20:41:56.549,1,33,77.88,0
2026/08/15 20:41:57.577,0,37,114.18,0
2026/08/15 20:41:57.581,1,34,94.49,0
2026/08/15 20:41:58.612,0,37,98.81,100
2026/08/15 20:41:58.618,1,34,78.59,0
2026/08/15 20:41:59.653,0,47,395.60,100
2026/08/15 20:41:59.661,1,41,376.07,100
2026/08/15 20:42:00.696,0,39,207.87,0
2026/08/15 20:42:00.700,1,35,195.97,0
2026/08/15 20:42:01.730,0,39,112.15,11
2026/08/15 20:42:01.734,1,35,97.50,11
2026/08/15 20:42:02.763,0,38,97.85,0
2026/08/15 20:42:02.767,1,34,78.60,0
2026/08/15 20:42:03.797,0,38,97.60,0
2026/08/15 20:42:03.802,1,34,78.38,0
2026/08/15 20:42:04.829,0,38,97.58,0
2026/08/15 20:42:04.833,1,34,78.73,0
2026/08/15 20:42:05.861,0,38,97.37,0
2026/08/15 20:42:05.865,1,34,77.81,0
2026/08/15 20:42:06.894,0,38,97.50,0
2026/08/15 20:42:06.899,1,34,77.57,0
2026/08/15 20:42:07.927,0,38,97.62,0
2026/08/15 20:42:07.932,1,34,77.54,0
2026/08/15 20:42:08.960,0,38,100.14,13
2026/08/15 20:42:08.965,1,34,78.52,0
2026/08/15 20:42:09.997,0,38,97.43,0
2026/08/15 20:42:10.001,1,34,77.51,0
2026/08/15 20:42:11.030,0,38,97.18,0
2026/08/15 20:42:11.034,1,34,77.09,0
2026/08/15 20:42:12.062,0,38,97.30,0
2026/08/15 20:42:12.067,1,34,77.68,0
2026/08/15 20:42:13.097,0,38,101.67,0
2026/08/15 20:42:13.102,1,34,80.96,0
2026/08/15 20:42:14.130,0,38,97.58,0
2026/08/15 20:42:14.135,1,34,78.18,0
2026/08/15 20:42:15.166,0,38,97.53,0
2026/08/15 20:42:15.170,1,34,77.07,0
2026/08/15 20:42:16.201,0,38,97.85,0
2026/08/15 20:42:16.206,1,34,77.55,0
2026/08/15 20:42:17.235,0,38,97.77,0
2026/08/15 20:42:17.239,1,34,77.08,0
2026/08/15 20:42:18.268,0,39,104.45,28
2026/08/15 20:42:18.273,1,35,88.21,22
2026/08/15 20:42:19.302,0,38,103.54,0
2026/08/15 20:42:19.306,1,34,83.22,0
2026/08/15 20:42:20.335,0,38,98.22,0
2026/08/15 20:42:20.339,1,34,77.50,0
2026/08/15 20:42:21.371,0,38,97.61,0
2026/08/15 20:42:21.375,1,34,77.80,0
2026/08/15 20:42:22.404,0,38,97.59,0
2026/08/15 20:42:22.408,1,34,77.69,0
2026/08/15 20:42:23.437,0,38,97.57,0
2026/08/15 20:42:23.441,1,34,78.01,0
2026/08/15 20:42:24.469,0,38,97.44,0
2026/08/15 20:42:24.474,1,34,78.15,0
2026/08/15 20:42:25.502,0,38,97.32,0
2026/08/15 20:42:25.507,1,34,77.70,0
2026/08/15 20:42:26.536,0,48,176.77,100
2026/08/15 20:42:26.541,1,44,188.19,100
2026/08/15 20:42:27.572,0,40,262.14,0
2026/08/15 20:42:27.577,1,36,249.44,0
2026/08/15 20:42:28.607,0,39,136.07,0
2026/08/15 20:42:28.611,1,36,122.61,0
2026/08/15 20:42:29.640,0,39,125.61,0
2026/08/15 20:42:29.645,1,35,107.31,1
2026/08/15 20:42:30.676,0,39,123.53,2
2026/08/15 20:42:30.681,1,35,106.05,2
2026/08/15 20:42:31.712,0,39,122.98,2
2026/08/15 20:42:31.719,1,35,105.66,2
2026/08/15 20:42:32.751,0,39,120.98,1
2026/08/15 20:42:32.757,1,37,98.19,38
2026/08/15 20:42:33.791,0,42,123.43,25
2026/08/15 20:42:33.795,1,38,106.21,62
2026/08/15 20:42:34.825,0,40,126.81,23
2026/08/15 20:42:34.830,1,37,110.29,78
2026/08/15 20:42:35.859,0,40,116.70,20
2026/08/15 20:42:35.863,1,36,106.09,0
2026/08/15 20:42:36.891,0,39,114.04,0
2026/08/15 20:42:36.896,1,36,110.87,0
2026/08/15 20:42:37.925,0,39,114.44,0
2026/08/15 20:42:37.930,1,36,111.69,0
2026/08/15 20:42:38.959,0,39,112.18,0
2026/08/15 20:42:38.963,1,36,109.32,0
2026/08/15 20:42:39.991,0,39,112.45,0
2026/08/15 20:42:39.996,1,36,109.63,0
2026/08/15 20:42:41.026,0,39,110.58,0
2026/08/15 20:42:41.031,1,36,106.21,0
2026/08/15 20:42:42.062,0,39,109.14,1
2026/08/15 20:42:42.067,1,35,99.33,2
2026/08/15 20:42:43.097,0,39,108.19,1
2026/08/15 20:42:43.103,1,35,91.07,1
2026/08/15 20:42:44.134,0,39,106.15,2
2026/08/15 20:42:44.139,1,35,91.88,1
2026/08/15 20:42:45.170,0,40,106.51,16
2026/08/15 20:42:45.176,1,36,86.56,13
2026/08/15 20:42:46.208,0,39,100.87,0
2026/08/15 20:42:46.213,1,35,82.51,0
2026/08/15 20:42:47.244,0,39,125.75,0
2026/08/15 20:42:47.249,1,36,114.80,0
2026/08/15 20:42:48.278,0,41,119.25,21
2026/08/15 20:42:48.283,1,37,113.11,19
2026/08/15 20:42:49.312,0,40,108.21,44
2026/08/15 20:42:49.317,1,36,103.40,6
2026/08/15 20:42:50.345,0,39,129.00,0
2026/08/15 20:42:50.351,1,36,121.73,0
2026/08/15 20:42:51.379,0,41,116.19,15
2026/08/15 20:42:51.384,1,37,111.83,12
2026/08/15 20:42:52.416,0,39,106.27,0
2026/08/15 20:42:52.421,1,35,85.91,0
2026/08/15 20:42:53.454,0,40,108.05,0
2026/08/15 20:42:53.458,1,35,82.03,0
2026/08/15 20:42:54.487,0,40,107.25,0
2026/08/15 20:42:54.492,1,35,77.93,0
2026/08/15 20:42:55.520,0,39,100.79,0
2026/08/15 20:42:55.525,1,35,77.91,0
2026/08/15 20:42:56.554,0,39,98.04,0
2026/08/15 20:42:56.559,1,35,78.06,0
2026/08/15 20:42:57.587,0,39,98.86,0
2026/08/15 20:42:57.592,1,35,78.39,0
2026/08/15 20:42:58.621,0,39,98.19,0
2026/08/15 20:42:58.626,1,35,77.07,0
2026/08/15 20:42:59.656,0,39,101.74,1
2026/08/15 20:42:59.662,1,36,79.18,15
2026/08/15 20:43:00.692,0,39,99.53,0
2026/08/15 20:43:00.697,1,35,81.17,0
2026/08/15 20:43:01.726,0,39,98.10,0
2026/08/15 20:43:01.731,1,35,77.89,0
2026/08/15 20:43:02.760,0,39,98.06,0
2026/08/15 20:43:02.764,1,35,77.67,0
2026/08/15 20:43:03.793,0,39,98.00,0
2026/08/15 20:43:03.798,1,35,77.85,0
2026/08/15 20:43:04.827,0,39,98.07,0
2026/08/15 20:43:04.832,1,35,79.13,0
2026/08/15 20:43:05.864,0,39,98.05,0
2026/08/15 20:43:05.868,1,35,78.12,0
2026/08/15 20:43:06.897,0,40,111.96,13
2026/08/15 20:43:06.902,1,36,90.50,35
2026/08/15 20:43:07.933,0,39,106.55,0
2026/08/15 20:43:07.937,1,35,86.58,0
2026/08/15 20:43:08.966,0,39,98.76,0
2026/08/15 20:43:08.971,1,35,78.06,0
2026/08/15 20:43:09.999,0,39,108.68,0
2026/08/15 20:43:10.004,1,35,89.65,0
2026/08/15 20:43:11.034,0,39,98.42,0
2026/08/15 20:43:11.039,1,35,78.03,0
2026/08/15 20:43:12.069,0,39,98.44,0
2026/08/15 20:43:12.074,1,35,78.32,0
2026/08/15 20:43:13.103,0,39,98.00,0
2026/08/15 20:43:13.108,1,35,77.01,0
2026/08/15 20:43:14.136,0,39,111.91,0
2026/08/15 20:43:14.141,1,35,88.42,0
2026/08/15 20:43:15.170,0,39,109.09,0
2026/08/15 20:43:15.174,1,35,88.55,0
2026/08/15 20:43:16.203,0,39,97.78,0
2026/08/15 20:43:16.208,1,35,77.38,0
2026/08/15 20:43:17.237,0,39,98.00,0
2026/08/15 20:43:17.242,1,35,77.75,0
2026/08/15 20:43:18.271,0,39,99.09,0
2026/08/15 20:43:18.276,1,35,78.93,0
2026/08/15 20:43:19.305,0,39,99.03,0
2026/08/15 20:43:19.310,1,35,78.86,0
2026/08/15 20:43:20.339,0,39,97.76,0
2026/08/15 20:43:20.343,1,35,77.40,0
2026/08/15 20:43:21.374,0,39,97.69,0
2026/08/15 20:43:21.378,1,35,77.35,0
2026/08/15 20:43:22.408,0,40,102.31,0
2026/08/15 20:43:22.413,1,35,81.53,5
2026/08/15 20:43:23.442,0,39,98.15,0
2026/08/15 20:43:23.448,1,35,77.97,0
2026/08/15 20:43:24.482,0,40,102.01,0
2026/08/15 20:43:24.487,1,35,80.29,0
2026/08/15 20:43:25.519,0,41,267.51,0
2026/08/15 20:43:25.524,1,37,246.31,0
2026/08/15 20:43:26.552,0,40,112.13,0
2026/08/15 20:43:26.557,1,36,96.50,0
2026/08/15 20:43:27.590,0,47,358.76,99
2026/08/15 20:43:27.600,1,42,338.17,99
2026/08/15 20:43:28.641,0,48,387.63,99
2026/08/15 20:43:28.649,1,45,368.24,99
2026/08/15 20:43:29.690,0,49,393.47,99
2026/08/15 20:43:29.700,1,44,375.61,99
2026/08/15 20:43:30.740,0,49,388.60,99
2026/08/15 20:43:30.747,1,45,366.15,98
2026/08/15 20:43:31.786,0,50,398.18,99
2026/08/15 20:43:31.795,1,45,376.19,99
2026/08/15 20:43:32.837,0,50,390.66,99
2026/08/15 20:43:32.848,1,45,366.90,99
2026/08/15 20:43:33.884,0,50,398.11,99
2026/08/15 20:43:33.895,1,45,373.97,99
2026/08/15 20:43:34.937,0,51,393.55,99
2026/08/15 20:43:34.946,1,46,368.23,99
2026/08/15 20:43:35.984,0,47,369.78,0
2026/08/15 20:43:35.989,1,43,350.58,13
2026/08/15 20:43:37.021,0,48,124.93,98
2026/08/15 20:43:37.034,1,42,130.94,17
2026/08/15 20:43:38.078,0,53,447.40,100
2026/08/15 20:43:38.088,1,48,420.45,100
2026/08/15 20:43:39.131,0,54,451.30,100
2026/08/15 20:43:39.143,1,49,424.82,100
2026/08/15 20:43:40.186,0,54,450.85,100
2026/08/15 20:43:40.197,1,49,425.11,100
2026/08/15 20:43:41.241,0,55,449.97,100
2026/08/15 20:43:41.252,1,50,426.17,100
2026/08/15 20:43:42.293,0,47,236.42,0
2026/08/15 20:43:42.298,1,42,202.49,0
2026/08/15 20:43:43.332,0,55,292.37,100
2026/08/15 20:43:43.340,1,50,298.50,100
2026/08/15 20:43:44.375,0,48,316.25,0
2026/08/15 20:43:44.380,1,43,299.69,0
2026/08/15 20:43:45.410,0,55,275.63,100
2026/08/15 20:43:45.421,1,50,268.28,100
2026/08/15 20:43:46.462,0,56,452.44,100
2026/08/15 20:43:46.472,1,51,443.26,100
2026/08/15 20:43:47.513,0,56,450.53,100
2026/08/15 20:43:47.524,1,52,445.97,100
2026/08/15 20:43:48.565,0,57,450.31,100
2026/08/15 20:43:48.578,1,52,446.13,100
2026/08/15 20:43:49.619,0,57,450.74,100
2026/08/15 20:43:49.629,1,52,448.04,100
